C7057|Disease, Disorder or Finding
C9492|Ductal Breast Hyperplasia
C4504|Malignant Breast Phyllodes Tumor
C5196|Benign Breast Phyllodes Tumor
C4620|Benign Male Breast Neoplasm
C5390|Atrial Paraganglioma
C5346|Endocardial Neoplasm
C40382|Breast Adenoma
C5392|Malignant Cardiac Paraganglioma
C5389|Benign Atrial Neoplasm
C5389|Benign Atrial Neoplasm
C5357|Benign Cardiac Germ Cell Tumor
C5358|Benign Cardiac Schwannoma
C5357|Benign Cardiac Germ Cell Tumor
C5358|Benign Cardiac Schwannoma
C5390|Atrial Paraganglioma
C5392|Malignant Cardiac Paraganglioma
C5346|Endocardial Neoplasm
C5375|Malignant Aortic Neoplasm
C5377|Malignant Inferior Vena Cava Neoplasm
C5362|Cardiac Epithelioid Hemangioendothelioma
C5368|Cardiac Lymphoma
C5380|Malignant Pulmonary Artery Neoplasm
C3205|Lymphangiosarcoma
C8538|Malignant Blood Vessel Neoplasm
C7723|Cardiac Sarcoma
C5375|Malignant Aortic Neoplasm
C27529|Malignant Cutaneous Vascular Neoplasm
C111119|AV Block Second Degree
C5377|Malignant Inferior Vena Cava Neoplasm
C5380|Malignant Pulmonary Artery Neoplasm
C37920|Bradycardia
C128406|Fungal Pericarditis
C80392|Chronic Atrial Fibrillation
C80391|Paroxysmal Atrial Fibrillation
C7753|Malignant Pericarditis
C114837|Uremic Pericarditis
C34478|Cor Pulmonale
C99542|Common Ventricle Disorder
C35740|Non-Neoplastic Vascular Disorder
C98914|Discordant Ventriculoarterial Connection
C95834|Congenital Heart Disease
C98916|Double Outlet Right Ventricle
C98818|Aortic Valve Atresia
C121926|Intermediate Bone Neoplasm
C110942|Congenital Anomaly of Pulmonary Veins
C99265|Congenital Complete Atrioventricular Block
C121931|Intermediate Osteoclastic Giant Cell-Rich Tumor of Bone
C27477|Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C121933|Malignant Osteoclastic Giant Cell-Rich Tumor of Bone
C53963|Benign Fibrous Histiocytoma of Bone
C27476|Benign Bone Schwannoma
C27477|Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C53970|Osteofibrous Dysplasia
C34609|Fibrous Dysplasia
C27476|Benign Bone Schwannoma
C53963|Benign Fibrous Histiocytoma of Bone
C27477|Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C75007|Marfan Syndrome Type II
C26837|Osteogenesis Imperfecta
C34568|Ehlers-Danlos Syndrome
C121926|Intermediate Bone Neoplasm
C27477|Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C121931|Intermediate Osteoclastic Giant Cell-Rich Tumor of Bone
C121933|Malignant Osteoclastic Giant Cell-Rich Tumor of Bone
C6515|Benign Skeletal Muscle Neoplasm
C6510|Benign Smooth Muscle Neoplasm
C6515|Benign Skeletal Muscle Neoplasm
C3358|Rhabdomyoma
C6516|Malignant Skeletal Muscle Neoplasm
C6516|Malignant Skeletal Muscle Neoplasm
C121926|Intermediate Bone Neoplasm
C27476|Benign Bone Schwannoma
C6511|Malignant Smooth Muscle Neoplasm
C53963|Benign Fibrous Histiocytoma of Bone
C27477|Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C27477|Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C121931|Intermediate Osteoclastic Giant Cell-Rich Tumor of Bone
C27476|Benign Bone Schwannoma
C53963|Benign Fibrous Histiocytoma of Bone
C121933|Malignant Osteoclastic Giant Cell-Rich Tumor of Bone
C27477|Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C121845|Bizarre Parosteal Osteochondromatous Proliferation
C34432|Bone Development Disorder
C2945|Chondroblastoma
C27220|Bone Infarction
C53459|Chondroma
C7343|Benign Cutaneous Fibrohistiocytic Neoplasm
C3401|Tenosynovial Giant Cell Tumor, Diffuse Type
C35765|Histiocytoma
C121931|Intermediate Osteoclastic Giant Cell-Rich Tumor of Bone
C26839|Bone Infection
C27477|Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C3401|Tenosynovial Giant Cell Tumor, Diffuse Type
C121933|Malignant Osteoclastic Giant Cell-Rich Tumor of Bone
C6532|Tenosynovial Giant Cell Tumor, Localized Type
C6535|Malignant Tenosynovial Giant Cell Tumor
C48742|pM1a Stage Finding
C48743|pM1b Stage Finding
C48744|pM1c Stage Finding
C48754|pN3 Stage Finding
C48747|pN1a Stage Finding
C48748|pN1b Stage Finding
C48749|pN1c Stage Finding
C48768|pT3 Stage Finding
C48751|pN2a Stage Finding
C48752|pN2b Stage Finding
C48753|pN2c Stage Finding
C48760|pT1a Stage Finding
C48761|pT1b Stage Finding
C48763|pT1c Stage Finding
C48765|pT2a Stage Finding
C48767|pT2c Stage Finding
C48766|pT2b Stage Finding
C48784|VX Stage Finding
C48729|T3a Stage Finding
C48884|Generic Regional Lymph Nodes TNM Finding
C48730|T3b Stage Finding
C48731|T3c Stage Finding
C48725|T2a Stage Finding
C48726|T2b Stage Finding
C48727|T2c Stage Finding
C95805|T1mi Stage Finding
C96220|Tobacco Induced Hyperparakeratosis
C35046|Substance Withdrawal Syndrome
C48984|Breast Cancer pT3 TNM Finding v6 and v7
C27236|Tobacco-Related Carcinoma
C48985|Breast Cancer pT4 TNM Finding v6 and v7
C48980|Breast Cancer pT1a TNM Finding v6 and v7
C48981|Breast Cancer pT1b TNM Finding v6 and v7
C48982|Breast Cancer pT1c TNM Finding v6 and v7
C48993|Breast Cancer pN0(i+) TNM Finding v6
C48992|Breast Cancer pN0(i-) TNM Finding v6
C48994|Breast Cancer pN0(mol-) TNM Finding v6 and v7
C48999|Breast Cancer pN1b TNM Finding v6
C48998|Breast Cancer pN1a TNM Finding v6 and v7
C49002|Breast Cancer pN2a TNM Finding v6 and v7
C49000|Breast Cancer pN1c TNM Finding v6
C49003|Breast Cancer pN2b TNM Finding v6
C73344|Breast Cancer cT3 TNM Finding v6
C88372|Breast Cancer cM0(i+) TNM Finding v7
C73352|Breast Cancer cN3 TNM Finding v6
C73346|Breast Cancer cNX TNM Finding v6 and v7
C73350|Breast Cancer cN2a TNM Finding v6 and v7
C73351|Breast Cancer cN2b TNM Finding v6
C48984|Breast Cancer pT3 TNM Finding v6 and v7
C48980|Breast Cancer pT1a TNM Finding v6 and v7
C48982|Breast Cancer pT1c TNM Finding v6 and v7
C48981|Breast Cancer pT1b TNM Finding v6 and v7
C48985|Breast Cancer pT4 TNM Finding v6 and v7
C73346|Breast Cancer cNX TNM Finding v6 and v7
C125581|Pathology Result
C88370|Breast Cancer cN3 TNM Finding v7
C73350|Breast Cancer cN2a TNM Finding v6 and v7
C88369|Breast Cancer cN2b TNM Finding v7
C48867|Cutaneous Melanoma pM1a TNM Finding v6
C48868|Cutaneous Melanoma pM1b TNM Finding v6
C48869|Cutaneous Melanoma pM1c TNM Finding
C88350|Breast Cancer pN0(i-) TNM Finding v7
C88351|Breast Cancer pN0(i+) TNM Finding v7
C49002|Breast Cancer pN2a TNM Finding v6 and v7
C48994|Breast Cancer pN0(mol-) TNM Finding v6 and v7
C48998|Breast Cancer pN1a TNM Finding v6 and v7
C88360|Breast Cancer pN2b TNM Finding v7
C88354|Breast Cancer pN1b TNM Finding v7
C48843|Cutaneous Melanoma pT1a TNM Finding v6
C88355|Breast Cancer pN1c TNM Finding v7
C48844|Cutaneous Melanoma pT1b TNM Finding v6
C48848|Cutaneous Melanoma pT3 TNM Finding v6 and v7
C48846|Cutaneous Melanoma pT2a TNM Finding v6 and v7
C48847|Cutaneous Melanoma pT2b TNM Finding v6 and v7
C48863|Cutaneous Melanoma pN3 TNM Finding v6 and v7
C79549|Dysarthria
C86950|Dysphonia
C48857|Cutaneous Melanoma pN1a TNM Finding v6
C48861|Cutaneous Melanoma pN2b TNM Finding v6
C48858|Cutaneous Melanoma pN1b TNM Finding v6
C48860|Cutaneous Melanoma pN2a TNM Finding v6
C48862|Cutaneous Melanoma pN2c TNM Finding v6
C82500|Disease Controlled
C119233|Physical Examination Findings of New or Worsening Heart Failure
C133707|ALK Negative
C128834|BCR/ABL1 Fusion Negative
C3981|Paraneoplastic Polyneuropathy
C132245|CD19 Negative
C85257|Recovered or Resolved without Sequelae
C45667|Atypical Mesothelial Hyperplasia
C5595|Prostatic Atypical Adenomatous Hyperplasia
C8436|Atypical Ductal Breast Hyperplasia
C4654|Atypical Endometrial Hyperplasia
C40386|Atypical Breast Myoepitheliosis
C4730|Atypical Lobular Breast Hyperplasia
C50995|Disease Response
C78222|Breast Hypoplasia
C7673|Cervical Glandular Intraepithelial Neoplasia
C7346|Cervical Squamous Intraepithelial Neoplasia
C7670|High Grade Cervical Intraepithelial Neoplasia
C95918|Ampullary Flat Intraepithelial Neoplasia, High Grade
C96418|Appendix Intraepithelial Neoplasia
C8436|Atypical Ductal Breast Hyperplasia
C7673|Cervical Glandular Intraepithelial Neoplasia
C4595|Anal Intraepithelial Neoplasia
C4843|Biliary Intraepithelial Neoplasia
C7680|Adenocarcinoma In Situ in a Polyp
C7680|Adenocarcinoma In Situ in a Polyp
C8894|Stage 0 Bladder Adenocarcinoma
C27701|Secondary Myelofibrosis
C3660|Breast Fibrosis
C8365|Breast Fibrocystic Change, Proliferative Type with Atypia
C6877|Grade III Glandular Intraepithelial Neoplasia
C5204|Breast Fibrocystic Change, Proliferative Type without Atypia
C9495|Radial Scar/Complex Sclerosing Lesion
C133647|Clinical Stage 0 Gastric Cancer AJCC v8
C133402|Clinical Stage 0 Esophageal Adenocarcinoma AJCC v8
C133447|Clinical Stage 0 Esophageal Squamous Cell Carcinoma AJCC v8
C3515|Galactocele
C4276|Breast Juvenile Fibroadenoma
C8436|Atypical Ductal Breast Hyperplasia
C4272|Breast Pericanalicular Fibroadenoma
C4730|Atypical Lobular Breast Hyperplasia
C40386|Atypical Breast Myoepitheliosis
C54184|Columnar Cell Hyperplasia of the Breast with Atypia
C8436|Atypical Ductal Breast Hyperplasia
C40387|Intraductal Breast Myoepitheliosis
C5200|Papillary Ductal Breast Hyperplasia
C40381|Breast Angiomatosis
C5353|Breast Hemangioma
C4570|Malignant Endocardial Neoplasm
C4608|Benign Endocardial Neoplasm
C40383|Breast Apocrine Adenoma
C40384|Breast Ductal Adenoma
C40408|Breast Pleomorphic Adenoma
C5347|Epicardial Neoplasm
C3499|Atrial Myxoma
C3499|Atrial Myxoma
C8535|Benign Epicardial Neoplasm
C8535|Benign Epicardial Neoplasm
C4607|Benign Myocardial Neoplasm
C5347|Epicardial Neoplasm
C4607|Benign Myocardial Neoplasm
C4608|Benign Endocardial Neoplasm
C4570|Malignant Endocardial Neoplasm
C5383|Malignant Pulmonary Vein Neoplasm
C5379|Malignant Superior Vena Cava Neoplasm
C5371|Malignant Cardiac Germ Cell Tumor
C5370|Cardiac Myeloid Sarcoma
C4490|Skin Lymphangiosarcoma
C5381|Pulmonary Artery Choriocarcinoma
C3088|Angiosarcoma
C3800|Epithelioid Hemangioendothelioma
C5361|Cardiac Fibrosarcoma
C5383|Malignant Pulmonary Vein Neoplasm
C5363|Cardiac Kaposi Sarcoma
C9087|Kaposi Sarcoma
C5364|Cardiac Leiomyosarcoma
C4489|Skin Angiosarcoma
C4490|Skin Lymphangiosarcoma
C3550|Skin Kaposi Sarcoma
C62017|AV Block Second Degree Mobitz Type I
C5379|Malignant Superior Vena Cava Neoplasm
C62018|AV Block Second Degree Mobitz Type II
C5381|Pulmonary Artery Choriocarcinoma
C128405|Viral Pericarditis
C50501|Complete Atrioventricular Block
C126651|Progressive Familial Heart Block, Type Ia
C84478|Coronary Microvascular Disease
C26732|Coronary Artery Disease
C114754|AV Fistula Stenosis
C35317|Arterial Disorder
C111643|Ectopia Cordis
C2938|Cerebrovascular Disorder
C98818|Aortic Valve Atresia
C110942|Congenital Anomaly of Pulmonary Veins
C99265|Congenital Complete Atrioventricular Block
C99137|Great Vessels Abnormality
C66796|Aggressive Osteoblastoma
C84482|Congenital Septal Defect
C121931|Intermediate Osteoclastic Giant Cell-Rich Tumor of Bone
C3740|Bone Desmoplastic Fibroma
C98585|Total Anomalous Pulmonary Venous Return
C34666|Heart Malformation
C121932|Giant Cell Tumor of Bone
C121893|Giant Cell Lesion of Small Bones
C34417|Benign Neoplasm of Lower Jaw Bone
C4304|Malignant Giant Cell Tumor of Bone
C121893|Giant Cell Lesion of Small Bones
C121901|Benign Notochordal Cell Tumor
C53971|Monostotic Fibrous Dysplasia
C34610|Polyostotic Fibrous Dysplasia
C34417|Benign Neoplasm of Lower Jaw Bone
C121901|Benign Notochordal Cell Tumor
C121893|Giant Cell Lesion of Small Bones
C99003|Osteogenesis Imperfecta Type I
C99001|Osteogenesis Imperfecta Type II
C99002|Osteogenesis Imperfecta Type III
C125696|Ehlers-Danlos Syndrome, Type I
C125697|Ehlers-Danlos Syndrome, Type II
C66796|Aggressive Osteoblastoma
C125698|Ehlers-Danlos Syndrome, Type III
C3740|Bone Desmoplastic Fibroma
C121893|Giant Cell Lesion of Small Bones
C121932|Giant Cell Tumor of Bone
C66799|Metastasizing Chondroblastoma
C4304|Malignant Giant Cell Tumor of Bone
C49166|Extracardiac Rhabdomyoma
C49166|Extracardiac Rhabdomyoma
C49166|Extracardiac Rhabdomyoma
C6739|Cardiac Rhabdomyoma
C3157|Leiomyoma
C66796|Aggressive Osteoblastoma
C3740|Bone Desmoplastic Fibroma
C3359|Rhabdomyosarcoma
C3359|Rhabdomyosarcoma
C66799|Metastasizing Chondroblastoma
C34417|Benign Neoplasm of Lower Jaw Bone
C121901|Benign Notochordal Cell Tumor
C121893|Giant Cell Lesion of Small Bones
C121893|Giant Cell Lesion of Small Bones
C121932|Giant Cell Tumor of Bone
C34417|Benign Neoplasm of Lower Jaw Bone
C3158|Leiomyosarcoma
C121901|Benign Notochordal Cell Tumor
C121893|Giant Cell Lesion of Small Bones
C4304|Malignant Giant Cell Tumor of Bone
C86969|Odontoid Hypoplasia
C35259|Chondromatosis
C3830|Chondromyxoid Fibroma
C3007|Enchondroma
C34880|Bone Necrosis
C4302|Periosteal Chondroma
C9482|Soft Tissue Chondroma
C6532|Tenosynovial Giant Cell Tumor, Localized Type
C121932|Giant Cell Tumor of Bone
C6801|Cutaneous Fibrous Histiocytoma
C78402|Joint Infection
C3739|Benign Fibrous Histiocytoma
C121893|Giant Cell Lesion of Small Bones
C27577|Osteomyelitis
C4304|Malignant Giant Cell Tumor of Bone
C48755|pN3a Stage Finding
C48757|pN3c Stage Finding
C48756|pN3b Stage Finding
C48769|pT3a Stage Finding
C48770|pT3b Stage Finding
C48771|pT3c Stage Finding
C48772|pT4 Stage Finding
C48705|N0 Stage Finding
C48786|N2 Stage Finding
C132010|T5 Stage Finding
C48706|N1 Stage Finding
C48732|T4 Stage Finding
C48737|TX Stage Finding
C103183|In Utero Drug Withdrawal
C87101|Neonatal Abstinence Syndrome
C101321|Neonatal Drug Withdrawal
C27772|Cigarette Smoking-Related Carcinoma
C48972|Breast Cancer pTX TNM Finding v6 and v7
C27773|Tobacco Chewing-Related Carcinoma
C48987|Breast Cancer pT4b TNM Finding v6 and v7
C48986|Breast Cancer pT4a TNM Finding v6 and v7
